date,post_type,creator,likes,comments,shares,saves,reach,impressions,followers
10/1/2024,Reel,@rishit.creates,4200,180,320,540,28000,45000,42800
10/3/2024,Static Post,@brand.official,1800,95,120,210,12000,19000,42950
10/5/2024,Carousel,@maya.content,2900,140,280,480,19000,31000,43100
10/7/2024,Reel,@rishit.creates,5100,220,410,680,34000,54000,43400
10/10/2024,Story,@brand.official,980,45,60,90,8000,11000,43400
10/12/2024,Carousel,@maya.content,3400,160,310,520,22000,36000,43700
10/14/2024,Reel,@karan.reels,6200,290,520,810,41000,65000,44200
10/17/2024,Static Post,@brand.official,1500,80,100,180,10000,16000,44300
10/19/2024,Carousel,@rishit.creates,2700,130,260,440,17000,28000,44500
10/21/2024,Reel,@maya.content,4800,210,390,630,32000,51000,44900
10/24/2024,Static Post,@karan.reels,1200,65,85,150,9000,14000,45000
10/26/2024,Carousel,@brand.official,3100,150,290,490,20000,33000,45200
10/28/2024,Reel,@rishit.creates,5600,260,480,750,38000,60000,45700
10/31/2024,Story,@maya.content,850,40,55,80,7000,10000,45700
11/2/2024,Reel,@karan.reels,4900,225,400,650,33000,52000,46200
11/4/2024,Carousel,@rishit.creates,3300,155,300,505,21000,34000,46500
11/6/2024,Static Post,@brand.official,1650,88,108,195,11000,17500,46600
11/8/2024,Reel,@maya.content,6500,305,540,840,43000,68000,47200
11/11/2024,Carousel,@karan.reels,3600,170,320,540,23000,38000,47600
11/13/2024,Reel,@rishit.creates,5300,245,450,710,36000,57000,48100
11/15/2024,Static Post,@brand.official,1400,75,95,170,9500,15000,48200
11/18/2024,Carousel,@maya.content,2800,135,270,455,18000,29000,48400
11/20/2024,Reel,@karan.reels,7100,330,580,900,47000,74000,49100
11/22/2024,Story,@rishit.creates,920,42,58,85,7500,10500,49100
11/25/2024,Carousel,@brand.official,3800,180,340,570,25000,41000,49600
11/27/2024,Reel,@maya.content,5800,270,500,780,39000,62000,50200
11/29/2024,Static Post,@karan.reels,1700,90,112,200,11500,18000,50300
12/2/2024,Reel,@rishit.creates,6800,315,560,870,45000,71000,51000
12/4/2024,Carousel,@maya.content,3500,165,315,525,22500,37000,51400
12/6/2024,Static Post,@brand.official,1550,82,102,188,10500,16500,51500
12/9/2024,Reel,@karan.reels,7400,345,600,930,49000,77000,52300
12/11/2024,Carousel,@rishit.creates,4000,190,355,595,26000,43000,52800
12/13/2024,Reel,@maya.content,6100,285,520,805,41000,65000,53400
12/16/2024,Static Post,@brand.official,1800,95,118,210,12000,19000,53600
12/18/2024,Carousel,@karan.reels,3700,175,335,560,24000,39500,53900
12/20/2024,Reel,@rishit.creates,8200,380,650,1010,54000,85000,54800
12/23/2024,Story,@maya.content,1050,48,65,95,8500,12000,54800
12/26/2024,Reel,@karan.reels,7600,355,620,960,50000,79000,55700
12/28/2024,Carousel,@rishit.creates,4100,195,360,605,27000,44500,56100
12/30/2024,Static Post,@brand.official,1900,100,122,218,12500,20000,56300
1/2/2025,Reel,@maya.content,8500,395,670,1040,56000,88000,57400
